user_id,game_count,best_score,best_game_order
1,2,14.890799016554,1
2,2,875.01730338461,2
3,2,1348.7695903009,1
4,1,727.6417599235,1
5,2,1560.5548820857,1
6,1,1271.1214849134,1
7,5,347.10880710589,3
8,2,41.395923390106,2
9,1,1242.5455013142,1
10,2,13.249779780356,2
11,1,2065.2012174582,1
13,3,1251.022426012,1
14,5,53.491392305672,1
15,1,481.3631375062,1
17,1,1964.0116780666,1
18,2,136.48937216629,2
19,1,1667.716571149,1
20,12,1806.9209427384,2
22,1,371.02213873054,1
23,1,368.96925752996,1
24,1,62.284460581205,1
26,1,118.92148536828,1
28,2,496.15043273162,1
29,1,2010.7101892898,1
30,1,3135.3374265143,1
31,3,43.350204301541,3
32,1,537.20743527159,1
33,2,287.96307162521,2
35,1,329.6917596588,1
36,1,2117.8440130657,1
39,1,754.93197933875,1
42,2,966.98321960118,1
43,1,3248.1764433435,1
44,1,431.00882652443,1
45,3,136.74899334477,3
46,2,3.8761177694854,2
47,1,1896.93373198,1
48,1,1872.9409284073,1
49,1,668.67669621471,1
50,1,1389.8924070265,1
51,1,1420.5149830628,1
52,1,779.78816559683,1
53,4,65.012260191423,4
54,2,1675.7926317766,2
56,2,1217.4713638427,1
57,1,1068.4564196707,1
58,1,829.97582835596,1
60,1,1258.4188673314,1
61,1,202.35543831422,1
62,1,3143.711008836,1
63,1,596.77792248396,1
