score,accurate
787.27567812212,94.6667
875.01730338461,90.2954
1348.7695903009,93.4718
667.1691124483,92.8783
727.6417599235,88.8372
1560.5548820857,83.8875
1395.0162907327,89.3443
1271.1214849134,93.2515
347.10880710589,98.2301
280.26846693847,96.0
1242.5455013142,80.4281
2065.2012174582,86.5385
1251.022426012,88.2716
1121.7915892318,88.5802
1133.3031341834,91.0494
481.3631375062,91.2162
1964.0116780666,93.6123
136.48937216629,100.0
1667.716571149,94.4862
416.50597895159,84.4595
1806.9209427384,73.2187
371.02213873054,98.3871
368.96925752996,95.9677
118.92148536828,92.0
496.15043273162,83.6601
456.26770907045,80.3922
2010.7101892898,89.1353
3135.3374265143,94.4179
537.20743527159,88.0503
287.96307162521,95.0495
329.6917596588,100.0
2117.8440130657,88.8889
754.93197933875,95.8716
966.98321960118,89.0977
890.45514276454,90.2256
3248.1764433435,94.8031
431.00882652443,89.0511
136.74899334477,85.9649
1896.93373198,93.9252
1872.9409284073,90.3587
668.67669621471,87.0647
1389.8924070265,92.0821
1420.5149830628,91.5493
779.78816559683,82.4561
1044.6285163164,90.4762
1675.7926317766,88.5287
1217.4713638427,92.7673
880.47273137603,86.9388
1068.4564196707,92.2535
829.97582835596,70.0
1258.4188673314,79.8107
202.35543831422,93.5065
3143.711008836,92.0128
596.77792248396,89.5288
