fav_game_type,time_to_click,square_size
SIMULATION,1.478,84
RPG,1.239,52
SIMULATION,1.636,72
RPG,1.092,90
SIMULATION,2.15,81
RPG,1.027,93
LOGIC,0.915,90
RTS,1.11,71
FPS,1.442,61
ACTION,1.265,82
HORROR,4.354,56
ACTION,1.279,49
HORROR,2.076,88
ACTION,1.17,68
ACTION,1.763,71
LOGIC,1.722,51
SANDBOX,1.179,66
SIMULATION,1.374,87
HACK_AND_SLASH,2.433,64
SANDBOX,0.883,94
LOGIC,0.859,48
MMO,3.081,86
ACTION,2.71,77
ACTION,1.714,94
ACTION,2.2,77
SANDBOX,1.27,81
RTS,1.554,81
SURVIVAL,3.188,54
PLATFORM,1.39,59
ACTION,1.41,93
ACTION,2.275,75
SANDBOX,1.727,74
RPG,0.954,63
ACTION,1.621,92
ACTION,1.39,84
SANDBOX,1.086,90
FPS,1.176,67
SANDBOX,1.655,62
STORY_RICH,1.142,85
SANDBOX,0.84,57
FPS,1.336,52
SURVIVAL,1.094,67
FPS,1.106,69
ACTION,1.206,59
ACTION,5.842,63
ACTION,2.68,62
RPG,1.141,91
RPG,1.189,56
MMO,1.351,66
PLATFORM,1.335,88
SURVIVAL,1.038,58
SANDBOX,2.48,76
SURVIVAL,1.01,68
SIMULATION,1.248,87
