square_size,mean_time_to_click
45,2.3882118959107816
46,2.319133828996283
47,2.334156626506024
48,2.2373176895306854
49,2.3479420849420847
50,2.375953068592057
51,2.252414634146342
52,2.243966257668711
53,2.23987878787879
54,2.4184089347079034
55,2.323145985401459
56,2.3427977528089903
57,2.2445427509293703
58,2.1810815602836886
59,2.193171003717472
60,2.2736572580645165
61,2.173101886792452
62,2.221827956989247
63,2.27641836734694
64,2.225
65,2.187480263157896
66,2.1931486486486476
67,2.215784905660377
68,2.243159695817491
69,2.164055147058823
70,2.2140860215053766
71,2.179886925795054
72,2.2298920863309344
73,2.2653441558441543
74,2.22231274131274
75,2.2474723247232467
76,2.147707070707072
77,2.238250883392227
78,2.126808219178083
79,2.1834175824175825
80,2.2037333333333344
81,2.271379182156135
82,2.1847509025270746
83,2.2004572368421043
84,2.205859477124184
85,2.2030631578947353
86,2.1897085020242897
87,2.041954861111113
88,2.200768421052632
89,2.165152985074626
90,2.21517216117216
91,2.1975708812260537
92,2.114467432950192
93,2.098272131147541
94,2.1775841924398636
95,2.2206879432624107
